stk_id,rozsah_opravneni,psc,mesto,ulice,provozovatel,tel,mail,orp,okres,kraj,cenastk,cenaevkont,cenaemiseb,cenaemisen,pracovnidoba
312,"OA, ZS",198 00,Praha 14,Skorkovská  1537,"TÜV NORD Czech, s.r.o.","281 915 951, 281 915 952",zizkovsky@tuev-nord.cz; stk-praha@tuev-nord.cz,Praha,Praha,Hlavní město Praha,0,0,0,0,"Po: 7:30-19:30, Út: 7:30-19:30, St: 7:30-19:30, Čt: 7:30-19:30, Pá: 7:30-19:30, So: 8:00-16:00"
3123,"OA, ZS",148 25,Praha 4,Dobronická 1216,STK Kunratice spol. s r.o.,242456194,stkkunratice@gmail.cz,Praha,Praha,Hlavní město Praha,0,0,0,0,"Po: 6:00-15:00, Út: 6:00-14:30, St: 6:00-14:30, Čt: 6:00-14:30, Pá: 6:00-12:00"
3127,OA,184 00,Praha 9,Dopraváků 874/15,TEKOSO-STK spol.s r.o.,273130110,stk3127@seznam.cz,Praha,Praha,Hlavní město Praha,0,0,0,0,"Po: 7:00-17:00, Út: 7:00-17:00, St: 7:00-17:00, Čt: 7:00-17:00, Pá: 7:00-17:00"
3126,OA,149 00,Praha 4,Ohradní 1575,PRONTO STK s.r.o.,607691696,stkpraha@stkpraha.cz,Praha,Praha,Hlavní město Praha,0,0,0,0,"Po: 7:00-17:30, Út: 7:00-17:30, St: 7:00-17:30, Čt: 7:00-17:30"
3128,OA,149 00,Praha 4,Mezi vodami 1097/25,ESPM s.r.o.,725888170,info@stk-modrany.cz,Praha,praha,Hlavní město Praha,0,0,0,0,"Po: 7:30-17:00, Út: 7:30-17:00, St: 7:30-17:00, Čt: 7:30-17:00, Pá: 7:30-17:00"
3201,"NA, TRA, ZS",261 01,Příbram,K Podlesí 539,BOVAS s.r.o.,318628552,stkpbsro@volny.cz,Příbram,Příbram,Středočeský kraj,0,0,0,0,Nákladní auta
3205,"OA, TRA, ZS",257 26,Divišov,Na Pile 300,STK Divišov s.r.o.,317 855 330,stkdivisov@volny.cz,Benešov,Benešov,Středočeský kraj,0,0,0,0,"Po: 7:00-19:00, Út: 7:00-19:00, St: 7:00-19:00, Čt: 7:00-19:00, Pá: 7:00-19:00"
3208,"OA, ZS",261 01,Příbram,Obecnická 323,ASOCOM spol. s r.o.,318635564,bergers@asocom.cz; manager@asocom.cz,Příbram,Příbram,Středočeský kraj,0,0,0,0,"Po: 7:00-18:00, Út: 7:00-18:00, St: 7:00-18:00, Čt: 7:00-18:00, Pá: 7:00-14:00"
3246,OA,273 09,Kladno-Švermov,28. října 1503,Měření 3D spol s r.o.,0,0,Kladno,Kladno,Středočeský kraj,0,0,0,0,0
310,"OA, NA, TRA, ZS, ADR",149 00,Praha 4,Türkova 1001,DEKRA CZ a.s.,"267 913 838, 267 288 245",stk@dekra.cz,Praha,Praha,Hlavní město Praha,1040,390,740,1140,"Po: 7:00-18:00, Út: 7:00-18:00, St: 7:00-18:00, Čt: 7:00-18:00, Pá: 7:00-14:00"
3104,"OA, ZS",150 00,Praha 5,Plzeňská 215b,STK MOTOL S.R.O.,257210963,stk@stkmotol.cz,Praha,Praha,Hlavní město Praha,940,400,690,940,"Po: 7:00-17:00, Út: 7:00-15:00, St: 7:00-17:00, Čt: 7:00-15:00, Pá: 7:30-13:00"
3105,"OA, ZS",100 31,Praha 10,Průběžná 76,"STK Praha, s.r.o.",274774867,stk@aboservis.cz,Praha,Praha,Hlavní město Praha,880,390,550,750,"Po: 7:00-15:30, Út: 7:00-15:30, St: 7:00-18:00, Čt: 7:00-15:30, Pá: 7:00-12:00"
3106,"OA, NA, TRA, ZS, ADR",153 00,Praha 5,Jeremiášova 870,DISKARD STK spol. s r.o.,723904805,info@stk-diskard.cz,Praha,Praha,Hlavní město Praha,1000,400,800,1000,"Po: 7:00-20:00, Út: 7:00-20:00, St: 7:00-20:00, Čt: 7:00-20:00, Pá: 7:00-18:00"
3108,"OA, ZS",169 00,Praha 6,Radimova 39,Břevnovská STK s.r.o.,220513268,brevnovska.stk@seznam.cz,Praha,Praha,Hlavní město Praha,950,390,750,950,"Po: 7:30-18:00, Út: 7:30-18:00, St: 7:30-18:00, Čt: 7:30-18:00, Pá: 7:30-18:00"
3109,"OA, ZS",181 00,Praha 8,Čimická 894/131,"Antonín Indra STK ,spol. s r.o.",233557743,stk-cimice@volny.cz,Praha,Praha,Hlavní město Praha,0,0,0,0,"Po: 8:00-17:00, Út: 8:00-17:00, St: 8:00-17:00, Čt: 8:00-17:00, Pá: 7:00-12:30"
311,"OA, ZS",130 00,Praha 3,Osiková 2688/2,DEKRA CZ a.s.,251002130,stkjarov@dekra.cz,Praha,Praha,Hlavní město Praha,0,0,0,0,"Po: 7:00-16:00, Út: 7:00-16:00, St: 7:00-16:00, Čt: 7:00-16:00, Pá: 7:00-16:00"
3112,"OA, NA, TRA, ZS",109 00,Praha 15,K Měcholupům 3,"AUTO-VESELÝ, s.r.o.",274 877 292,vesely@stkmecholupy.cz,Praha,Praha,Hlavní město Praha,850,390,600,800,"Po: 7:00-16:00, Út: 7:00-16:00, St: 7:00-16:00, Čt: 7:00-16:00, Pá: 7:00-11:00"
3114,"OA, ZS",101 00,Praha 10,Nad Vršovskou horou 88/4,STK Bohdalec s.r.o.,"267 107 485, 267 107 488",info@stk-bohdalec.cz,Praha,Praha,Hlavní město Praha,1050,850,690,1100,"Po: 7:00-18:00, Út: 7:00-18:00, St: 7:00-18:00, Čt: 7:00-18:00, Pá: 7:00-15:00"
3115,"OA, ZS",190 00,Praha 9,Na Výběžku 688/11,"Pro-M, s.r.o.","284 818 928, 284 818 927",stkvysocany.cz@dekra.com,Praha,Praha,Hlavní město Praha,950,500,800,1000,"Po: 7:00-18:00, Út: 7:00-18:00, St: 7:00-18:00, Čt: 7:00-18:00, Pá: 7:00-13:00"
3116,"OA, ZS",182 00,Praha 8,Bešťákova 567/3,"MYNOS STK, s.r.o.",286 580 824,stkstkpraha8@gmail.com,Praha,Praha,Hlavní město Praha,950,400,700,800,"Po: 7:00-17:00, Út: 7:00-17:00, St: 7:00-17:00, Čt: 7:00-17:00, Pá: 7:00-17:00"
3117,OA,190 00,Praha 9,Prosecká 817,DEKRA CZ a.s.,283 881 307,stk-prosek@dekra.cz,Praha,Praha,Hlavní město Praha,1080,440,0,0,"Po: 7:00-17:00, Út: 7:00-17:00, St: 7:00-17:00, Čt: 7:00-17:00, Pá: 7:00-14:00"
3118,"OA, ZS",101 01,Praha 10,Přípotoční 300,Zařízení služeb pro MV,974844447,stk3118@seznam.cz,Praha,Praha,Hlavní město Praha,650,450,590,590,"Po: 7:00-17:30, Út: 7:00-17:30, St: 7:00-17:30, Čt: 7:00-17:30, Pá: 7:00-15:30"
3121,"OA, ZS",170 00,Praha 7,Za elektrárnou 19,STK Holešovice s.r.o.,267052285,stk@stkholesovice.cz,Praha,Praha,Hlavní město Praha,950,400,800,1100,"Po: 7:30-18:00, Út: 7:30-18:00, St: 7:30-18:00, Čt: 7:30-18:00, Pá: 7:30-17:00"
3122,"OA, ZS",163 00,Praha 6,Karlovarská 814,NH group s.r.o.,725392611,stkrepy@stkrepy.cz,Praha,Praha,Hlavní město Praha,950,400,700,900,"Po: 7:30-17:00, Út: 7:30-17:00, St: 7:30-17:00, Čt: 7:30-17:00, Pá: 7:30-17:00"
3202,"OA, NA, TRA, ZS",276 01,Mělník,Mladoboleslavská 2801,STK Mělník Mladoboleslavská s.r.o.,315623328,stkmelnik@stkmelnik.cz;,Mělník,Mělník,Středočeský kraj,870,300,700,850,"Po: 7:00-19:00, Út: 7:00-19:00, St: 7:00-19:00, Čt: 7:00-19:00, Pá: 7:00-16:00"
3203,"OA, ZS",274 01,Slaný,Netovická 350,TERRI s.r.o.,312527670,stk.slany@terri.cz,Slaný,Kladno,Středočeský kraj,850,400,650,750,"Po: 7:00-17:00, Út: 7:00-17:00, St: 7:00-17:00, Čt: 7:00-17:00, Pá: 7:00-15:00"
3206,"OA, TRA, ZS",294 41,Dobrovice,Kosořická 580,STK - PECHA v.o.s.,326398112,pecha-stk@quick.cz,Mladá Boleslav,Mladá Boleslav,Středočeský kraj,900,400,900,900,"Po: 7:00-17:00, Út: 7:00-17:00, St: 7:00-17:00, Čt: 7:00-17:00, Pá: 7:00-14:00"
3207,"OA, ZS",272 04,Kladno,Vašíčkova 71,AUTOŠTOL-STK s r.o.,312 267 113,stk3207@stkkladno.cz,Kladno,Kladno,Středočeský kraj,880,400,700,800,"Po: 6:00-18:00, Út: 6:00-14:00, St: 6:00-16:00, Čt: 6:00-14:00, Pá: 6:00-12:00"
3209,"OA, TRA, ZS",288 02,Nymburk,Maršála Koněva 660/44,"ŠPÁRA, s.r.o.",325 513 653,stk@spara.cz,Nymburk,Nymburk,Středočeský kraj,0,0,0,0,"Po: 7:00-16:00, Út: 7:00-16:00, St: 7:00-16:00, Čt: 7:00-16:00, Pá: 7:00-13:00"
3204,"OA, TRA, ZS",285 04,Uhlířské Janovice,Kolínská 670,"STK Janovice, s.r.o.",327542266,stkjanovice-osobni@seznam.cz,Kutná Hora,Kutná Hora,Středočeský kraj,800,390,720,700,"Po: 7:00-17:00, Út: 7:00-17:00, St: 7:00-17:00, Čt: 7:00-17:00, Pá: 7:00-17:00, So: 8:00-12:00"
3214,"NA, TRA, ZS",272 80,Kladno,Železničářů 885 areál ČSAD,TESTCAR s.r.o.,312680016,kladno@testcar.cz,Kladno,Kladno,Středočeský kraj,0,0,0,0,"Po: 7:00-15:00, Út: 7:00-15:00, St: 7:00-15:00, Čt: 7:00-15:00, Pá: 6:00-14:00"
3216,"OA, NA, TRA, ZS",284 45,Kutná Hora,Hrnčířská 207,UNIKOM - STK s.r.o.,327514515,stk@unikom.cz,Kutná Hora,Kutná Hora,Středočeský kraj,0,0,0,0,"Po: 7:00-17:00, Út: 7:00-17:00, St: 7:00-17:00, Čt: 7:00-17:00, Pá: 7:00-15:00, So: 7:00-12:00"
